dimension_value,year_1,year_2,year_3
HYBRID_FIXED,0.0911,0.1493,0.1845
HYBRID_FLEXIBLE,0.1743,0.1836,0.1805
ON_SITE,0.124,0.1493,0.1917
REMOTE,0.5047,0.4158,0.3668
UNKNOWN,0.1059,0.102,0.0764
