dimension_value,year_1,year_2,year_3
Centro-oeste,0.0696,0.0666,0.0685
Exterior,0.02,,
Nordeste,0.1138,0.1176,0.1128
Norte,0.0136,0.0161,0.0142
Sudeste,0.6318,0.6139,0.6442
Sul,0.1512,0.1859,0.1602
