survey_year,respondent_id,age_band,gender,ethnicity_raw,pcd_flag_raw,state,region,education_level,education_area,employment_status,sector,company_size_raw,manager_flag,current_role_raw,current_role,seniority,salary_band_raw,salary_lower_bound,salary_upper_bound,salary_midpoint,salary_open_ended,salary_anomaly_flag,data_experience_band,it_experience_band,current_work_model,ideal_work_model,rto_attitude_raw,source_file,ingestion_timestamp,pipeline_version,processing_timestamp
year_2,year_2_000000,30-34,MALE,Branca,Não,MG,Sudeste,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,EMPLOYEE_CLT,Finanças ou Bancos,Acima de 3.000,False,Cientista de Dados/Data Scientist,DATA_SCIENTIST,SENIOR,de R$ 12.001/mês a R$ 16.000/mês,12001.0,16000.0,14000.5,CLOSED,False,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,HYBRID_FLEXIBLE,REMOTE,Vou procurar outra oportunidade no modelo 100% remoto,data_2023-2024.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.678222+00:00
year_2,year_2_000001,30-34,MALE,Branca,Não,ES,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,CONTRACTOR_CNPJ,Finanças ou Bancos,de 101 a 500,False,Analista de BI/BI Analyst,BI_ANALYST,MID,de R$ 6.001/mês a R$ 8.000/mês,6001.0,8000.0,7000.5,CLOSED,False,de 3 a 4 anos,de 3 a 4 anos,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2023-2024.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.678222+00:00
year_2,year_2_000002,35-39,FEMALE,Amarela,Não,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,EMPLOYEE_CLT,Finanças ou Bancos,Acima de 3.000,False,Analista de Dados/Data Analyst,DATA_ANALYST,JUNIOR,de R$ 6.001/mês a R$ 8.000/mês,6001.0,8000.0,7000.5,CLOSED,False,de 1 a 2 anos,Menos de 1 ano,HYBRID_FLEXIBLE,REMOTE,Vou aceitar e retornar ao modelo 100% presencial,data_2023-2024.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.678222+00:00
year_2,year_2_000003,22-24,MALE,Preta,Não,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,UNEMPLOYED_SEEKING,,,,,UNKNOWN,UNKNOWN,,,,,,False,,,UNKNOWN,UNKNOWN,,data_2023-2024.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.678222+00:00
year_2,year_2_000004,30-34,MALE,Branca,Não,MG,Sudeste,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,CONTRACTOR_CNPJ,Outra Opção,de 101 a 500,False,Analista de Dados/Data Analyst,DATA_ANALYST,JUNIOR,de R$ 4.001/mês a R$ 6.000/mês,4001.0,6000.0,5000.5,CLOSED,False,Menos de 1 ano,Menos de 1 ano,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2023-2024.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.678222+00:00
year_2,year_2_000005,30-34,MALE,Branca,Não,RJ,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,CONTRACTOR_CNPJ,Tecnologia/Fábrica de Software,de 51 a 100,False,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,DATA_ENGINEER_OR_ARCHITECT,MID,de R$ 8.001/mês a R$ 12.000/mês,8001.0,12000.0,10000.5,CLOSED,False,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo 100% remoto,data_2023-2024.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.678222+00:00
year_2,year_2_000006,22-24,MALE,Branca,Não,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,EMPLOYEE_CLT,Finanças ou Bancos,Acima de 3.000,False,Analista de Negócios/Business Analyst,BUSINESS_ANALYST,MID,de R$ 4.001/mês a R$ 6.000/mês,4001.0,6000.0,5000.5,CLOSED,False,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,HYBRID_FIXED,HYBRID_FLEXIBLE,Vou aceitar e retornar ao modelo 100% presencial,data_2023-2024.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.678222+00:00
year_2,year_2_000007,35-39,MALE,Branca,Não,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,EMPLOYEE_CLT,Varejo,Acima de 3.000,True,,UNKNOWN,UNKNOWN,de R$ 20.001/mês a R$ 25.000/mês,20001.0,25000.0,22500.5,CLOSED,False,de 7 a 10 anos,de 7 a 10 anos,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo 100% remoto,data_2023-2024.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.678222+00:00
year_2,year_2_000008,25-29,MALE,Parda,Não,RJ,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,ACADEMIC_RESEARCHER,,,,,UNKNOWN,UNKNOWN,,,,,,False,,,UNKNOWN,UNKNOWN,,data_2023-2024.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.678222+00:00
year_2,year_2_000009,25-29,MALE,Parda,Não,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,UNEMPLOYED_SEEKING,,,,,UNKNOWN,UNKNOWN,,,,,,False,,,UNKNOWN,UNKNOWN,,data_2023-2024.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.678222+00:00
year_2,year_2_000010,25-29,MALE,Preta,Sim,SE,Nordeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,EMPLOYEE_CLT,Setor Público,de 101 a 500,False,Analista de BI/BI Analyst,BI_ANALYST,JUNIOR,de R$ 1.001/mês a R$ 2.000/mês,1001.0,2000.0,1500.5,CLOSED,False,de 1 a 2 anos,de 5 a 6 anos,ON_SITE,HYBRID_FLEXIBLE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2023-2024.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.678222+00:00
