position,source_column,dtype,non_null_count,missing_percentage,unique_count
0,"""('P0', 'id')""",object,5293,0.0,5293
1,"""('P1_a ', 'Idade')""",int64,5293,0.0,53
2,"""('P1_a_1 ', 'Faixa idade')""",object,5293,0.0,9
3,"""('P1_b ', 'Genero')""",object,5293,0.0,4
4,"""('P1_c ', 'Cor/raca/etnia')""",object,5293,0.0,7
5,"""('P1_d ', 'PCD')""",object,5293,0.0,3
6,"""('P1_e ', 'experiencia_profissional_prejudicada')""",object,2719,48.63026638957113,17
7,"""('P1_e_1 ', 'Não acredito que minha experiência profissional seja afetada')""",float64,2719,48.63026638957113,2
8,"""('P1_e_2 ', 'Experiencia prejudicada devido a minha Cor Raça Etnia')""",float64,2719,48.63026638957113,2
9,"""('P1_e_3 ', 'Experiencia prejudicada devido a minha identidade de gênero')""",float64,2719,48.63026638957113,2
10,"""('P1_e_4 ', 'Experiencia prejudicada devido ao fato de ser PCD')""",float64,2719,48.63026638957113,2
11,"""('P1_f ', 'aspectos_prejudicados')""",object,1244,76.49726053277914,602
12,"""('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')""",float64,1245,76.47836765539392,2
13,"""('P1_f_2', 'Senioridade das vagas recebidas em relação à sua experiência')""",float64,1245,76.47836765539392,2
14,"""('P1_f_3', 'Aprovação em processos seletivos/entrevistas')""",float64,1245,76.47836765539392,2
15,"""('P1_f_4', 'Oportunidades de progressão de carreira')""",float64,1245,76.47836765539392,2
16,"""('P1_f_5', 'Velocidade de progressão de carreira')""",float64,1245,76.47836765539392,2
17,"""('P1_f_6', 'Nível de cobrança no trabalho/Stress no trabalho')""",float64,1245,76.47836765539392,2
18,"""('P1_f_7', 'Atenção dada diante das minhas opiniões e ideias')""",float64,1245,76.47836765539392,2
19,"""('P1_f_8', 'Relação com outros membros da empresa, em momentos de trabalho')""",float64,1245,76.47836765539392,2
20,"""('P1_f_9', 'Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho')""",float64,1245,76.47836765539392,2
21,"""('P1_g ', 'vive_no_brasil')""",int64,5293,0.0,2
22,"""('P1_i ', 'Estado onde mora')""",object,5172,2.286038163612318,26
23,"""('P1_i_1 ', 'uf onde mora')""",object,5169,2.3427167957679953,25
