position,source_column,dtype,non_null_count,missing_percentage,unique_count
0,'0.a_token',object,3495,0.0,3494
1,'0.d_data/hora_envio',object,3495,0.0,3410
2,'1.a_idade',int64,3495,0.0,55
3,'1.a.1_faixa_idade',object,3495,0.0,9
4,'1.b_genero',object,3495,0.0,4
5,'1.c_cor/raca/etnia',object,3493,0.057224606580829764,7
6,'1.d_pcd',object,3495,0.0,3
7,'1.e_experiencia_profissional_prejudicada',object,1782,49.012875536480685,24
8,'1.e.1_Não acredito que minha experiência profissional seja afetada',float64,1782,49.012875536480685,2
9,"'1.e.2_Sim, devido a minha Cor/Raça/Etnia'",float64,1782,49.012875536480685,2
10,"'1.e.3_Sim, devido a minha identidade de gênero'",float64,1782,49.012875536480685,2
11,"'1.e.4_Sim, devido ao fato de ser PCD'",float64,1782,49.012875536480685,2
12,'1.f_aspectos_prejudicados',object,839,75.99427753934191,415
13,'1.f.1_Quantidade de oportunidades de emprego/vagas recebidas',float64,839,75.99427753934191,2
14,'1.f.2_Senioridade das vagas recebidas em relação à sua experiência',float64,839,75.99427753934191,2
15,'1.f.3_Aprovação em processos seletivos/entrevistas',float64,839,75.99427753934191,2
16,'1.f.4_Oportunidades de progressão de carreira',float64,839,75.99427753934191,2
17,'1.f.5_Velocidade de progressão de carreira',float64,839,75.99427753934191,2
18,'1.f.6_Nível de cobrança no trabalho/Stress no trabalho',float64,839,75.99427753934191,2
19,'1.f.7_Atenção dada pelas pessoas diante das minhas opiniões e ideias',float64,839,75.99427753934191,2
20,"'1.f.8_Relação com outras pessoas da empresa, em momentos de trabalho'",float64,839,75.99427753934191,2
21,"'1.f.9_Relação com outras pessoas da empresa, em momentos de integração e outros momentos fora do trabalho'",float64,839,75.99427753934191,2
22,'1.g_vive_no_brasil',int64,3495,0.0,2
23,'1.h_pais_onde_mora',object,122,96.50929899856938,36
24,'1.i_estado_onde_mora',object,3373,3.490701001430615,26
25,'1.i.1_uf_onde_mora',object,3370,3.5765379113018603,25
26,'1.i.2_regiao_onde_mora',object,3370,3.5765379113018603,5
27,'1.j_vive_no_estado_de_formacao',float64,3373,3.490701001430615,2
28,'1.k_estado_de_origem',object,708,79.74248927038626,27
29,'1.k.1_uf_de_origem',object,688,80.31473533619456,25
30,'1.k.2_regiao_de_origem',object,688,80.31473533619456,5
31,'1.l_nivel_de_ensino',object,3495,0.0,7
32,'1.m_área_de_formação',object,3423,2.060085836909871,9
33,'2.a_situação_de_trabalho',object,3495,0.0,13
